Neuron_ID,X,Y,Z,Cluster_Number
665.0,3290.35977,1686.0921449369534,18.664789915966296,8
667.0,559.02696,1695.2061565312072,18.76568067226881,11
668.0,1133.24487,1692.1681526664559,18.732050420167973,12
669.0,978.29718,1707.3581719902122,18.900201680672172,12
670.0,1066.40469,1695.2061565312072,18.76568067226881,12
671.0,2685.7599600000003,1716.472183584466,19.001092436974695,1
672.0,3187.06131,1710.3961758549633,18.93383193277301,1
673.0,3244.78692,1713.4341797197146,18.967462184873852,1
674.0,3527.3385900000003,1707.3581719902122,18.900201680672172,8
676.0,650.1726600000001,1707.3581719902122,18.900201680672172,11
677.0,3068.5719000000004,1722.5481913139683,19.068352941176375,1
678.0,3348.08538,1716.472183584466,19.001092436974695,8
682.0,1026.90822,1719.5101874492173,19.034722689075533,12
683.0,1175.77953,1725.58619517872,19.101983193277214,12
684.0,1102.8629700000001,1728.6241990434712,19.135613445378056,12
685.0,1740.8828700000001,1734.7002067729736,19.202873949579736,3
686.0,568.14153,1737.738210637725,19.236504201680575,11
687.0,3129.3357,1743.8142183672273,19.303764705882255,1
688.0,1689.2336400000002,1749.89022609673,19.371025210083936,3
689.0,616.75257,1746.8522222319787,19.337394957983093,11
690.0,1397.5674000000001,1740.7762145024763,19.270134453781417,2
691.0,1054.2519300000001,1755.9662338262324,19.438285714285616,12
692.0,1209.19962,1755.9662338262324,19.438285714285616,12
693.0,3390.6200400000002,1743.8142183672273,19.303764705882255,8
695.0,3314.6652900000004,1762.042241555735,19.505546218487297,8
696.0,3448.34565,1755.9662338262324,19.438285714285616,8
697.0,1139.32125,1755.9662338262324,19.438285714285616,12
700.0,2865.01317,1759.0042376909837,19.471915966386458,1
701.0,686.63094,1762.042241555735,19.505546218487297,11
702.0,3196.1758800000002,1771.1562531499887,19.606436974789816,1
703.0,1099.8247800000001,1759.0042376909837,19.471915966386458,12
705.0,1358.07093,1777.2322608794914,19.6736974789915,6
706.0,2050.7782500000003,1774.1942570147398,19.640067226890658,3
707.0,890.1896700000001,1786.346272473745,19.77458823529402,6
708.0,1014.7554600000001,1786.346272473745,19.77458823529402,6
709.0,1266.92523,1783.308268608994,19.740957983193177,12
710.0,966.1444200000001,1792.4222802032477,19.8418487394957,6
711.0,2552.0796,1780.2702647442427,19.707327731092338,1
712.0,3360.2381400000004,1789.3842763384964,19.808218487394857,8
713.0,3253.90149,1786.346272473745,19.77458823529402,1
714.0,1181.85591,1789.3842763384964,19.808218487394857,12
715.0,2813.36394,1786.346272473745,19.77458823529402,1
716.0,1230.46695,1810.6503033917552,20.043630252100737,12
719.0,701.82189,1804.5742956622528,19.976369747899057,11
720.0,3287.3215800000003,1813.6883072565065,20.07726050420158,1
722.0,1619.35527,1810.6503033917552,20.043630252100737,12
723.0,1373.26188,1819.764314986009,20.14452100840326,2
724.0,853.73139,1813.6883072565065,20.07726050420158,6
725.0,2296.8716400000003,1819.764314986009,20.14452100840326,3
726.0,2391.05553,1819.764314986009,20.14452100840326,3
727.0,820.3113000000001,1841.030342039268,20.37993277310914,6
728.0,3345.0471900000002,1825.8403227155118,20.21178151260494,8
729.0,601.5616200000001,1828.8783265802629,20.245411764705782,11
730.0,647.1344700000001,1831.9163304450142,20.27904201680662,11
731.0,1187.93229,1834.9543343097655,20.312672268907463,9
